,aggregate_gene_expression
LOC102163816,10343861.0
TTN,1251604.0
LOC100513133,170682.0
LOC110257246,140020.0
NEBL,145095.0
ABLIM1,101811.0
CTDSP1,298127.0
ANKRD1,44979.0
MYBPC3,91546.0
L1TD1,79033.0
RPP30,21978.0
SLC8A1,56591.0
TPM1,46460.0
MYH7,52389.0
TNNI3,44591.0
DDX5,55829.0
LOC110256529,49121.0
RBPMS,44243.0
PFKFB1,51792.0
ZFAT,52019.0
SORBS2,71229.0
DDX17,51020.0
RYR2,53760.0
DLC1,48693.0
SORBS1,45573.0
TANC2,47741.0
MYL2,42577.0
ZBTB20,50846.0
PDE4D,78781.0
TCP11,42334.0
LOC102162486,42262.0
LOC106504879,41536.0
CMYA5,48951.0
REL,35442.0
AAK1,41597.0
RBM24,42903.0
TPM2,46048.0
LOC100516731,38836.0
PDLIM5,56959.0
LOC110255408,37918.0
LOC100624559,47383.0
GLS,28638.0
LOC102164640,34631.0
LUC7L3,36286.0
LOC100626591,33149.0
SPTBN1,48009.0
CRYBG3,22823.0
CD36,37242.0
FKBP14,37430.0
TXNIP,16756.0
FHL2,40779.0
ZNF671,31905.0
TCEANC2,33028.0
ACTC1,34675.0
ACTA1,30878.0
ATP2A2,46699.0
LACC1,30418.0
LCMT2,32382.0
LOC110260761,28255.0
LOC106508546,28086.0
C12H17orf100,21341.0
LOC110261249,34536.0
B3GALNT1,25013.0
PNISR,28266.0
ALG11,26087.0
NKTR,27919.0
MFSD4A,32242.0
SON,24041.0
ATXN7,24657.0
PSPC1,22637.0
TRA2A,18973.0
LOC110255584,21264.0
CPSF4L,26278.0
MYH7B,46183.0
QKI,34830.0
MARS2,36480.0
PNPT1,29723.0
LOC110257572,22848.0
COL3A1,7339.0
NEMP2,25546.0
CAMK2D,26215.0
GHR,29694.0
PPARGC1A,23499.0
SLC25A4,29171.0
AKAP8L,24501.0
COL1A1,7008.0
KLF8,26125.0
TRIT1,24240.0
TNRC6B,25019.0
TNNT2,28300.0
LOC106504370,32367.0
TAPBP,12511.0
TIA1,23852.0
TAF1D,22071.0
GSN,3140.0
WWOX,19963.0
NEXN,25573.0
COL4A1,6361.0
SLC25A30,20146.0
DMD,43323.0
IVNS1ABP,21636.0
FBXO22,21598.0
LOC100525572,15029.0
MRPS30,20994.0
LMO4,21221.0
ELMO1,14925.0
COL1A2,6382.0
NREP,35446.0
LOC102161784,22011.0
LOC110255807,20067.0
LOC100525433,24124.0
NRIP1,20885.0
SLC25A29,17793.0
LOC102160368,18673.0
DDX39B,24027.0
LOC110259223,15606.0
LOC110261655,20744.0
TCAP,23430.0
KYNU,13221.0
CPNE3,26233.0
ANKS4B,19185.0
DCN,3225.0
MOCS2,20478.0
LMOD2,16760.0
TRIM13,18394.0
MYL7,8700.0
CFLAR,14743.0
DPY19L4,20060.0
ARL15,17182.0
ZBTB2,17793.0
FBXL20,14569.0
CD84,19456.0
SRRM2,17173.0
ZMYM1,18369.0
LOC110259691,20230.0
MGP,6032.0
SF3B1,15016.0
LOC110255652,18508.0
LOC110261306,16638.0
RRP8,16679.0
ANKRD42,17821.0
LYRM7,19723.0
WDR33,17688.0
YPEL1,17869.0
MACF1,20121.0
LMO7,38883.0
TTC14,15779.0
MYL3,16897.0
MBD5,20001.0
SOX6,22386.0
LOC100302368,18435.0
FILIP1,20586.0
PPIP5K2,26505.0
LOC100513362,16885.0
STRN,18336.0
SAMD5,15715.0
LOC102158906,16051.0
FILIP1L,25258.0
LOC106505107,16497.0
LOC106505411,15009.0
LOC110259304,19080.0
AGL,25866.0
ATF7IP,17550.0
NPPB,21632.0
CPT1B,15770.0
CALD1,23153.0
HNRNPH1,13108.0
ACTG1,12830.0
SLC16A10,18868.0
PNPLA4,19923.0
CTNND1,14727.0
NEK4,12596.0
TRPC1,15172.0
DDX46,12688.0
MLIP,21305.0
NAIF1,17249.0
LOC110256118,13205.0
GGCX,15493.0
ACTB,17097.0
LOC110257314,14704.0
DES,20389.0
AP4S1,17131.0
RBFOX2,23295.0
YIPF4,15637.0
IGFBP5,2722.0
SMG1,13613.0
LOC106506279,14983.0
LOC106508918,22397.0
SFPQ,13509.0
LIMS1,12211.0
AKAP9,17404.0
NOC3L,19003.0
GPATCH2,15080.0
HOOK3,14575.0
ARL14EP,15305.0
HIVEP2,13667.0
ZRANB2,14631.0
LPP,19071.0
LOC110261595,17697.0
LOC110257311,12305.0
NFAT5,17573.0
