,aggregate_gene_expression
LOC102163816,6943103.0
TTN,751138.0
LOC100513133,99016.0
LOC110257246,41435.0
NEBL,108041.0
ABLIM1,90056.0
CTDSP1,117512.0
ANKRD1,19743.0
MYBPC3,51064.0
L1TD1,59180.0
RPP30,11295.0
SLC8A1,46079.0
TPM1,32034.0
MYH7,38891.0
TNNI3,36600.0
DDX5,31756.0
LOC110256529,34828.0
RBPMS,42416.0
PFKFB1,36663.0
ZFAT,38124.0
SORBS2,49798.0
DDX17,56769.0
RYR2,42557.0
DLC1,35861.0
SORBS1,49659.0
TANC2,37324.0
MYL2,39486.0
ZBTB20,38085.0
PDE4D,65297.0
TCP11,31951.0
LOC102162486,31410.0
LOC106504879,26028.0
CMYA5,27916.0
REL,28069.0
AAK1,28244.0
RBM24,33847.0
TPM2,27986.0
LOC100516731,29566.0
PDLIM5,51198.0
LOC110255408,31077.0
LOC100624559,29025.0
GLS,23680.0
LOC102164640,21959.0
LUC7L3,23143.0
LOC100626591,25915.0
SPTBN1,39319.0
CRYBG3,24436.0
CD36,22605.0
FKBP14,17572.0
TXNIP,13557.0
FHL2,27182.0
ZNF671,24371.0
TCEANC2,24555.0
ACTC1,30156.0
ACTA1,24209.0
ATP2A2,25778.0
LACC1,22241.0
LCMT2,24728.0
LOC110260761,23333.0
LOC106508546,19174.0
C12H17orf100,19731.0
LOC110261249,23519.0
B3GALNT1,23472.0
PNISR,17409.0
ALG11,18804.0
NKTR,19459.0
MFSD4A,22720.0
SON,14384.0
ATXN7,18808.0
PSPC1,16143.0
TRA2A,15311.0
LOC110255584,18966.0
CPSF4L,19229.0
MYH7B,31560.0
QKI,29980.0
MARS2,25189.0
PNPT1,23765.0
LOC110257572,18038.0
COL3A1,5262.0
NEMP2,20083.0
CAMK2D,18155.0
GHR,20904.0
PPARGC1A,13804.0
SLC25A4,18367.0
AKAP8L,19483.0
COL1A1,3957.0
KLF8,22095.0
TRIT1,18530.0
TNRC6B,18812.0
TNNT2,16947.0
LOC106504370,23839.0
TAPBP,16202.0
TIA1,15250.0
TAF1D,14341.0
GSN,2067.0
WWOX,14216.0
NEXN,21928.0
COL4A1,6413.0
SLC25A30,10699.0
DMD,19659.0
IVNS1ABP,8866.0
FBXO22,17036.0
LOC100525572,12056.0
MRPS30,17868.0
LMO4,13153.0
ELMO1,11934.0
COL1A2,4252.0
NREP,23495.0
LOC102161784,15869.0
LOC110255807,15098.0
LOC100525433,18312.0
NRIP1,14555.0
SLC25A29,13699.0
LOC102160368,15167.0
DDX39B,12375.0
LOC110259223,10229.0
LOC110261655,18830.0
TCAP,23733.0
KYNU,10398.0
CPNE3,21893.0
ANKS4B,16278.0
DCN,2511.0
MOCS2,14720.0
LMOD2,14801.0
TRIM13,14754.0
MYL7,8429.0
CFLAR,11410.0
DPY19L4,17959.0
