,aggregate_gene_expression
LOC102163816,11077018.0
TTN,976383.0
LOC100513133,114570.0
LOC110257246,105969.0
NEBL,170973.0
ABLIM1,85251.0
CTDSP1,71619.0
ANKRD1,72071.0
MYBPC3,71622.0
L1TD1,56535.0
RPP30,34340.0
SLC8A1,62638.0
TPM1,36669.0
MYH7,44758.0
TNNI3,52688.0
DDX5,50988.0
LOC110256529,28979.0
RBPMS,27695.0
PFKFB1,38830.0
ZFAT,50690.0
SORBS2,39688.0
DDX17,37159.0
RYR2,46418.0
DLC1,32597.0
SORBS1,42060.0
TANC2,33987.0
MYL2,57007.0
ZBTB20,31627.0
PDE4D,71919.0
TCP11,28037.0
LOC102162486,24002.0
LOC106504879,16056.0
CMYA5,40603.0
REL,24308.0
AAK1,39321.0
RBM24,42005.0
TPM2,48195.0
LOC100516731,31165.0
PDLIM5,47417.0
LOC110255408,25673.0
LOC100624559,34381.0
GLS,19392.0
LOC102164640,22907.0
LUC7L3,26398.0
LOC100626591,22482.0
SPTBN1,30766.0
CRYBG3,35553.0
CD36,27478.0
FKBP14,19843.0
TXNIP,10540.0
FHL2,38679.0
ZNF671,23845.0
TCEANC2,19692.0
ACTC1,25580.0
ACTA1,22311.0
ATP2A2,35535.0
LACC1,19677.0
LCMT2,22595.0
LOC110260761,20303.0
LOC106508546,17610.0
C12H17orf100,12672.0
LOC110261249,25478.0
B3GALNT1,17169.0
PNISR,23321.0
ALG11,17999.0
NKTR,17144.0
MFSD4A,19896.0
SON,20088.0
ATXN7,17796.0
PSPC1,14279.0
TRA2A,14814.0
LOC110255584,14309.0
CPSF4L,16290.0
MYH7B,54438.0
QKI,26391.0
MARS2,20304.0
PNPT1,20989.0
LOC110257572,15236.0
COL3A1,3885.0
NEMP2,16725.0
CAMK2D,22770.0
GHR,20060.0
PPARGC1A,18598.0
SLC25A4,22473.0
AKAP8L,16617.0
COL1A1,3415.0
KLF8,16424.0
TRIT1,15729.0
TNRC6B,15799.0
TNNT2,34318.0
LOC106504370,21620.0
TAPBP,6026.0
TIA1,16548.0
TAF1D,13843.0
GSN,2130.0
WWOX,12104.0
NEXN,30948.0
COL4A1,4317.0
SLC25A30,12502.0
DMD,32584.0
IVNS1ABP,17562.0
FBXO22,15788.0
LOC100525572,10162.0
MRPS30,15800.0
LMO4,20361.0
ELMO1,13391.0
COL1A2,3013.0
NREP,20416.0
LOC102161784,15444.0
LOC110255807,15232.0
LOC100525433,16991.0
NRIP1,12762.0
SLC25A29,16748.0
LOC102160368,12665.0
DDX39B,16397.0
LOC110259223,8541.0
LOC110261655,12946.0
TCAP,23688.0
KYNU,9037.0
CPNE3,24456.0
ANKS4B,13526.0
DCN,2037.0
MOCS2,14226.0
LMOD2,17425.0
TRIM13,12658.0
MYL7,13178.0
CFLAR,10396.0
DPY19L4,15730.0
ARL15,10264.0
ZBTB2,12761.0
FBXL20,10201.0
CD84,16440.0
SRRM2,13034.0
ZMYM1,13851.0
LOC110259691,20317.0
MGP,3237.0
SF3B1,9380.0
LOC110255652,12406.0
LOC110261306,11374.0
RRP8,11617.0
ANKRD42,12722.0
LYRM7,13489.0
WDR33,12813.0
YPEL1,11974.0
MACF1,14951.0
LMO7,35608.0
TTC14,10628.0
MYL3,18983.0
MBD5,18007.0
SOX6,16671.0
LOC100302368,13299.0
FILIP1,20652.0
PPIP5K2,28268.0
LOC100513362,11478.0
STRN,18273.0
SAMD5,10660.0
LOC102158906,11573.0
FILIP1L,12726.0
LOC106505107,10170.0
LOC106505411,11180.0
LOC110259304,14696.0
AGL,17917.0
ATF7IP,10664.0
NPPB,3661.0
CPT1B,10452.0
CALD1,23124.0
HNRNPH1,7242.0
ACTG1,8594.0
SLC16A10,14534.0
PNPLA4,13028.0
CTNND1,9332.0
NEK4,9045.0
TRPC1,11642.0
DDX46,9720.0
MLIP,15486.0
NAIF1,12428.0
LOC110256118,8732.0
GGCX,13736.0
ACTB,5944.0
LOC110257314,10978.0
DES,12866.0
AP4S1,11227.0
RBFOX2,12965.0
YIPF4,11934.0
IGFBP5,756.0
SMG1,9840.0
LOC106506279,10213.0
LOC106508918,13881.0
SFPQ,10761.0
LIMS1,9376.0
AKAP9,14395.0
NOC3L,11691.0
GPATCH2,10376.0
HOOK3,11407.0
ARL14EP,12056.0
HIVEP2,9537.0
ZRANB2,11028.0
LPP,14748.0
LOC110261595,12447.0
LOC110257311,8885.0
NFAT5,12932.0
ITGB1,12584.0
LOC110257073,11718.0
PAG1,10321.0
UBE3A,11907.0
FAM227B,12000.0
LAMA2,8981.0
SEC61A1,11669.0
ELAC1,9583.0
LOC100521069,11645.0
PEX19,9399.0
ACSM5,10173.0
PGBD1,8695.0
LOC106508625,6748.0
LOC397451,8550.0
ENKUR,10956.0
DST,8681.0
GOLGA4,13684.0
NTRK2,5401.0
LOC106510599,9607.0
CASP10,8931.0
SLC39A14,12444.0
PRRC2C,7563.0
LOC110260596,11146.0
LOC102167727,9541.0
ADCY6,14940.0
LOC102164547,12134.0
LOC100737186,11959.0
SYNE2,8327.0
MAML2,5833.0
HNRNPU,9752.0
PNN,11294.0
CD109,9743.0
PCM1,10556.0
SPATA6,8950.0
NLRC3,11273.0
NACA,14124.0
LOC102161091,9634.0
LOC100737218,9767.0
LOC110255544,7098.0
GK,10983.0
KLF12,8689.0
UVSSA,9612.0
DGKH,8945.0
SRSF5,9280.0
LOC100520317,10159.0
MITD1,12158.0
LRMDA,9487.0
NOXRED1,9462.0
THBS1,1380.0
ZCCHC11,8709.0
LRRFIP2,12182.0
MAP3K5,15561.0
DUSP11,8337.0
LOC110255653,8817.0
HOMER1,17399.0
VAPB,8453.0
C15H2orf88,16831.0
LOC110260676,7393.0
PPM1K,12985.0
MYOZ2,17295.0
VEGFA,7522.0
OSGEPL1,10621.0
ECHDC1,8998.0
ZNF84,9824.0
MBNL1,10303.0
LOC100520512,521.0
JUN,13103.0
BTG2,3762.0
