,aggregate_gene_expression
LOC102163816,7111937.0
TTN,1048501.0
LOC100513133,159826.0
LOC110257246,69404.0
NEBL,118345.0
ABLIM1,110670.0
CTDSP1,87922.0
ANKRD1,26115.0
MYBPC3,55076.0
L1TD1,45162.0
RPP30,10751.0
SLC8A1,52339.0
TPM1,36575.0
MYH7,37848.0
TNNI3,32167.0
DDX5,24028.0
LOC110256529,30337.0
RBPMS,58303.0
PFKFB1,28201.0
ZFAT,32104.0
SORBS2,46164.0
DDX17,31081.0
RYR2,38312.0
DLC1,31295.0
SORBS1,36502.0
TANC2,29011.0
MYL2,30669.0
ZBTB20,27603.0
PDE4D,55328.0
TCP11,29984.0
LOC102162486,25374.0
LOC106504879,17317.0
CMYA5,40192.0
REL,25399.0
AAK1,24827.0
RBM24,37702.0
TPM2,20658.0
LOC100516731,24384.0
PDLIM5,48176.0
LOC110255408,27463.0
LOC100624559,37431.0
GLS,26465.0
LOC102164640,20889.0
LUC7L3,19090.0
LOC100626591,22157.0
SPTBN1,34884.0
CRYBG3,18999.0
CD36,22607.0
FKBP14,19561.0
TXNIP,27329.0
FHL2,38206.0
ZNF671,21211.0
TCEANC2,20031.0
ACTC1,24157.0
ACTA1,15942.0
ATP2A2,35115.0
LACC1,18018.0
LCMT2,21723.0
LOC110260761,22128.0
LOC106508546,16794.0
C12H17orf100,13895.0
LOC110261249,24393.0
B3GALNT1,13970.0
PNISR,19590.0
ALG11,17594.0
NKTR,18538.0
MFSD4A,20389.0
SON,14794.0
ATXN7,16107.0
PSPC1,15007.0
TRA2A,12368.0
LOC110255584,15629.0
CPSF4L,15935.0
MYH7B,30043.0
QKI,22708.0
MARS2,16368.0
PNPT1,20842.0
LOC110257572,13622.0
COL3A1,3333.0
NEMP2,16790.0
CAMK2D,23391.0
GHR,18311.0
PPARGC1A,17284.0
SLC25A4,23876.0
AKAP8L,16714.0
COL1A1,3206.0
KLF8,17974.0
TRIT1,15815.0
TNRC6B,15028.0
TNNT2,19926.0
LOC106504370,16215.0
TAPBP,6595.0
TIA1,14687.0
TAF1D,14036.0
GSN,2560.0
WWOX,13966.0
NEXN,22179.0
COL4A1,5074.0
SLC25A30,16625.0
DMD,28295.0
IVNS1ABP,11540.0
FBXO22,15022.0
LOC100525572,10152.0
MRPS30,15503.0
LMO4,18586.0
ELMO1,9819.0
COL1A2,2977.0
NREP,24359.0
LOC102161784,14152.0
LOC110255807,14887.0
LOC100525433,15055.0
NRIP1,13358.0
SLC25A29,7888.0
LOC102160368,12834.0
DDX39B,10289.0
LOC110259223,9836.0
LOC110261655,13998.0
TCAP,16157.0
KYNU,8726.0
CPNE3,20828.0
ANKS4B,13432.0
DCN,2209.0
MOCS2,13405.0
LMOD2,11358.0
TRIM13,12425.0
MYL7,7600.0
CFLAR,10266.0
DPY19L4,13976.0
ARL15,10803.0
ZBTB2,13252.0
FBXL20,10206.0
CD84,15178.0
SRRM2,9401.0
ZMYM1,13667.0
LOC110259691,12218.0
MGP,1974.0
SF3B1,9659.0
