,aggregate_gene_expression
LOC102163816,9918888.0
TTN,1259139.0
LOC100513133,207485.0
LOC110257246,63711.0
NEBL,182275.0
ABLIM1,113403.0
CTDSP1,86568.0
ANKRD1,82493.0
MYBPC3,79354.0
L1TD1,56249.0
RPP30,29802.0
SLC8A1,67956.0
TPM1,56055.0
MYH7,47569.0
TNNI3,36395.0
DDX5,52057.0
LOC110256529,31734.0
RBPMS,88213.0
PFKFB1,40604.0
ZFAT,43831.0
SORBS2,44227.0
DDX17,39067.0
RYR2,67998.0
DLC1,51490.0
SORBS1,34618.0
TANC2,39176.0
MYL2,40930.0
ZBTB20,30311.0
PDE4D,67996.0
TCP11,30110.0
LOC102162486,27608.0
LOC106504879,31256.0
CMYA5,49063.0
REL,26906.0
AAK1,38163.0
RBM24,58282.0
TPM2,42266.0
LOC100516731,29902.0
PDLIM5,44311.0
LOC110255408,21473.0
LOC100624559,42702.0
GLS,26195.0
LOC102164640,28865.0
LUC7L3,19958.0
LOC100626591,27437.0
SPTBN1,28343.0
CRYBG3,80844.0
CD36,33061.0
FKBP14,15829.0
TXNIP,9321.0
FHL2,97941.0
ZNF671,27387.0
TCEANC2,22418.0
ACTC1,43119.0
ACTA1,22668.0
ATP2A2,54617.0
LACC1,22496.0
LCMT2,25246.0
LOC110260761,23824.0
LOC106508546,21224.0
C12H17orf100,14709.0
LOC110261249,23741.0
B3GALNT1,30278.0
PNISR,23505.0
ALG11,22356.0
NKTR,17019.0
MFSD4A,22961.0
SON,18520.0
ATXN7,19135.0
PSPC1,13514.0
TRA2A,13124.0
LOC110255584,16145.0
CPSF4L,16564.0
MYH7B,49169.0
QKI,21814.0
MARS2,19302.0
PNPT1,24133.0
LOC110257572,14085.0
COL3A1,1907.0
NEMP2,18167.0
CAMK2D,26485.0
GHR,19000.0
PPARGC1A,181951.0
SLC25A4,41354.0
AKAP8L,21372.0
COL1A1,2234.0
KLF8,19134.0
TRIT1,15133.0
TNRC6B,14534.0
TNNT2,41537.0
LOC106504370,19670.0
TAPBP,17489.0
TIA1,13653.0
TAF1D,12072.0
GSN,1516.0
WWOX,13916.0
NEXN,34893.0
COL4A1,3840.0
SLC25A30,20872.0
DMD,37504.0
IVNS1ABP,29737.0
FBXO22,15846.0
LOC100525572,10512.0
MRPS30,14868.0
LMO4,23171.0
ELMO1,13704.0
COL1A2,1848.0
NREP,26490.0
LOC102161784,15730.0
LOC110255807,16921.0
LOC100525433,17873.0
NRIP1,16832.0
SLC25A29,12908.0
LOC102160368,13708.0
DDX39B,11266.0
LOC110259223,9260.0
LOC110261655,14354.0
TCAP,18438.0
KYNU,10464.0
CPNE3,27506.0
ANKS4B,11985.0
DCN,1445.0
MOCS2,11453.0
LMOD2,14399.0
TRIM13,12872.0
MYL7,27866.0
CFLAR,10098.0
DPY19L4,14466.0
ARL15,13553.0
ZBTB2,11345.0
FBXL20,11252.0
CD84,24097.0
SRRM2,11093.0
ZMYM1,12378.0
LOC110259691,22451.0
MGP,1669.0
SF3B1,10052.0
LOC110255652,16969.0
LOC110261306,11125.0
RRP8,15014.0
ANKRD42,17182.0
LYRM7,15314.0
WDR33,11429.0
YPEL1,11506.0
MACF1,20755.0
LMO7,22208.0
TTC14,10056.0
MYL3,20954.0
MBD5,13378.0
SOX6,15556.0
LOC100302368,13978.0
FILIP1,16291.0
PPIP5K2,32403.0
LOC100513362,9236.0
STRN,11058.0
SAMD5,15615.0
LOC102158906,10644.0
FILIP1L,11646.0
LOC106505107,9898.0
LOC106505411,12343.0
LOC110259304,14048.0
AGL,19825.0
ATF7IP,13392.0
NPPB,2477.0
CPT1B,12956.0
CALD1,11191.0
HNRNPH1,8160.0
ACTG1,15391.0
SLC16A10,12669.0
PNPLA4,13074.0
CTNND1,10183.0
NEK4,14493.0
TRPC1,10583.0
DDX46,8999.0
MLIP,15285.0
NAIF1,13995.0
LOC110256118,9950.0
GGCX,17453.0
ACTB,14738.0
LOC110257314,11448.0
DES,8441.0
AP4S1,11184.0
RBFOX2,14722.0
YIPF4,10484.0
IGFBP5,465.0
SMG1,10380.0
LOC106506279,10264.0
LOC106508918,11374.0
SFPQ,13056.0
LIMS1,19164.0
AKAP9,15535.0
NOC3L,11900.0
GPATCH2,10241.0
HOOK3,10941.0
ARL14EP,7762.0
HIVEP2,18216.0
ZRANB2,10539.0
LPP,16130.0
LOC110261595,16567.0
LOC110257311,9067.0
NFAT5,12316.0
ITGB1,8384.0
LOC110257073,11923.0
PAG1,9128.0
UBE3A,11076.0
FAM227B,11417.0
LAMA2,10040.0
SEC61A1,10390.0
ELAC1,10456.0
LOC100521069,13586.0
PEX19,8407.0
ACSM5,12091.0
PGBD1,10620.0
LOC106508625,7055.0
LOC397451,13268.0
ENKUR,10196.0
DST,12707.0
GOLGA4,14841.0
NTRK2,5762.0
LOC106510599,9826.0
CASP10,8646.0
SLC39A14,25022.0
PRRC2C,8380.0
LOC110260596,9464.0
LOC102167727,11243.0
ADCY6,14969.0
LOC102164547,13946.0
LOC100737186,11262.0
SYNE2,8275.0
MAML2,4408.0
HNRNPU,8362.0
PNN,8471.0
CD109,11709.0
PCM1,7649.0
SPATA6,9929.0
NLRC3,11521.0
NACA,10439.0
LOC102161091,9770.0
LOC100737218,8320.0
LOC110255544,8370.0
GK,13404.0
KLF12,8795.0
UVSSA,14062.0
DGKH,7784.0
SRSF5,12528.0
LOC100520317,12555.0
MITD1,10419.0
LRMDA,8826.0
NOXRED1,9198.0
THBS1,2884.0
ZCCHC11,9659.0
LRRFIP2,11263.0
MAP3K5,17189.0
DUSP11,6888.0
LOC110255653,9281.0
HOMER1,12135.0
VAPB,8793.0
C15H2orf88,6499.0
LOC110260676,9227.0
PPM1K,11473.0
MYOZ2,20311.0
VEGFA,24575.0
OSGEPL1,7024.0
ECHDC1,8101.0
ZNF84,10364.0
MBNL1,8259.0
LOC100520512,522.0
JUN,6153.0
BTG2,3093.0
PIK3R1,6818.0
LDB3,24699.0
LOC110261250,10958.0
ANKRD6,9736.0
CPEB4,18039.0
ARGLU1,7834.0
PRPF4B,7275.0
GADD45G,12050.0
KSR1,9545.0
MYL6,10778.0
ST7,9971.0
DNAJB4,10206.0
LOC110260441,8325.0
TTC5,8455.0
ZNF605,8119.0
GLUL,7424.0
NRAP,38750.0
DCP1B,11626.0
LARP7,10876.0
HNRNPDL,8524.0
CIRBP,7517.0
ACER3,6017.0
EXOC4,8835.0
BCL2,8792.0
LOC100621388,8522.0
LOC100620825,8503.0
SLC6A20,10676.0
LTV1,8367.0
CTCF,8301.0
UBR2,9138.0
SASH1,8440.0
SDR42E1,9070.0
ACIN1,8011.0
NUDT6,8872.0
LOC100520273,10570.0
PCNP,8478.0
LOC100521680,7181.0
LOC110256171,11565.0
CELF2,8198.0
ZNF644,12351.0
TRPM7,14185.0
LOC100513397,10356.0
STXBP4,10170.0
RORA,7543.0
C14H10orf62,8132.0
LOC102163381,10435.0
LOC102166633,8168.0
TNIP2,7621.0
LOC110256684,8080.0
ARMC2,5143.0
LOC102165098,6972.0
LOC106506763,7283.0
EIF4A2,5518.0
PPP1R3G,7643.0
LOC106507710,10212.0
MDM4,6715.0
LOC110259451,9946.0
LOC100624329,8689.0
MYOM2,28469.0
SSR3,5370.0
